id_registro,fecha_deposito,run_fondo,nombre_fondo,administradora,estado_registro,estado_liquidacion,tipo_fondo,reglamento_codigo,reglamento_url,fecha_ultima_modificacion,primera_deteccion
FM262689,2026-08-17,10917,FONDO MUTUO BANCOESTADO ESTRUCTURADO RENTA UF III,BANCOESTADO S.A. ADMINISTRADORA  GENERAL DE FONDOS,Vigente,,Fondo Mutuo,2026080533006,https://www.cmfchile.cl/documentos/rfm/rfm_2026080533006.pdf,2026-08-17,2026-08-20
FM262688,2026-08-13,10916,FONDO DE INVERSIÓN GNP VII CLP,ADMINISTRADORA GENERAL DE FONDOS  SECURITY S.A.,Vigente,,Fondo Inversión No Rescatable,2026080528594,https://www.cmfchile.cl/documentos/rfm/rfm_2026080528594.pdf,2026-08-13,2026-08-20
FM262687,2026-08-12,10915,VINCI COMPASS LS 13 FONDO DE INVERSIÓN,VINCI COMPASS S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026080526566,https://www.cmfchile.cl/documentos/rfm/rfm_2026080526566.pdf,2026-08-12,2026-08-20
FM262686,2026-08-10,10914,PICTON - KKR ASIA V FONDO DE INVERSIÓN,PICTON ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026080520993,https://www.cmfchile.cl/documentos/rfm/rfm_2026080520993.pdf,2026-08-10,2026-08-20
FM262685,2026-08-07,10913,FONDO DE INVERSIÓN CDV PACÍFICO II,AMICORP ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026080519545,https://www.cmfchile.cl/documentos/rfm/rfm_2026080519545.pdf,2026-08-07,2026-08-20
FM262684,2026-08-06,10912,FONDO DE INVERSION RENTAS LAB ORIGEN,LAB CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026080516138,https://www.cmfchile.cl/documentos/rfm/rfm_2026080516138.pdf,2026-08-06,2026-08-20
FM262683,2026-08-06,10911,BTG PACTUAL ETF EUROPEAN EQUITIES FONDO DE INVERSIÓN,BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión Rescatable,2026080516059,https://www.cmfchile.cl/documentos/rfm/rfm_2026080516059.pdf,2026-08-06,2026-08-20
FM262682,2026-08-06,10910,BTG PACTUAL ETF GLOBAL EMERGING MARKETS EQUITIES FONDO DE INVERSIÓN,BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión Rescatable,2026080515190,https://www.cmfchile.cl/documentos/rfm/rfm_2026080515190.pdf,2026-08-06,2026-08-20
FM262681,2026-08-06,10909,PICTON - TPG TWIN BROOK DL VI FONDO DE INVERSIÓN,PICTON ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026080515070,https://www.cmfchile.cl/documentos/rfm/rfm_2026080515070.pdf,2026-08-06,2026-08-20
FM262676,2026-08-03,10907,BICE INFRAESTRUCTURA GLOBAL FONDO DE INVERSIÓN,BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.,Vigente,,Fondo Inversión No Rescatable,2026080505097,https://www.cmfchile.cl/documentos/rfm/rfm_2026080505097.pdf,2026-08-03,2026-08-20
FM262677,2026-08-03,10908,FONDO DE INVERSIÓN HMC ALPHA VENTURES I,HMC S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026080507522,https://www.cmfchile.cl/documentos/rfm/rfm_2026080507522.pdf,2026-08-03,2026-08-20
FM262674,2026-07-29,10905,TOESCA INFRAESTRUCTURA SS FONDO DE INVERSIÓN,TOESCA S.A.  ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Inversión No Rescatable,2026070495651,https://www.cmfchile.cl/documentos/rfm/rfm_2026070495651.pdf,2026-07-29,2026-08-20
FM262673,2026-07-28,10904,FONDO MUTUO BCI RETORNO DIGITAL,BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.,Vigente,,Fondo Mutuo,2026070490950,https://www.cmfchile.cl/documentos/rfm/rfm_2026070490950.pdf,2026-07-28,2026-08-20
FM262672,2026-07-28,10903,FONDO MUTUO BCI IMPULSO DIGITAL,BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.,Vigente,,Fondo Mutuo,2026070490949,https://www.cmfchile.cl/documentos/rfm/rfm_2026070490949.pdf,2026-07-28,2026-08-20
FM262671,2026-07-28,10902,FONDO MUTUO BCI EQUILIBRIO DIGITAL,BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.,Vigente,,Fondo Mutuo,2026070490947,https://www.cmfchile.cl/documentos/rfm/rfm_2026070490947.pdf,2026-07-28,2026-08-20
FM262670,2026-07-20,10901,FONDO MUTUO SCOTIA ESTRUCTURADO DEUDA UF IV,SCOTIA  ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.,Vigente,,Fondo Mutuo,2026070468717,https://www.cmfchile.cl/documentos/rfm/rfm_2026070468717.pdf,2026-07-20,2026-08-20
FM262667,2026-07-14,10899,FONDO MUTUO VINCI COMPASS LIQUIDEZ USD,VINCI COMPASS S.A. ADMINISTRADORA GENERAL DE FONDOS,Vigente,,Fondo Mutuo,2026070461819,https://www.cmfchile.cl/documentos/rfm/rfm_2026070461819.pdf,2026-07-14,2026-08-20
